sample_id,file,token_count,llm_token_count,expected_count,llm_count,tp,fp,fn,precision,recall,match,ex_llm_count,ex_tp,ex_fp,ex_fn,ex_precision,ex_recall,ex_match
correction_report_prune_0.0001.json::sample_0,correction_report_prune_0.0001.json,79,79,7,8,2,6,5,0.25,0.2857,0,11,6,5,1,0.5455,0.8571,0
correction_report_prune_0.0001.json::sample_1,correction_report_prune_0.0001.json,78,78,7,6,0,6,7,0.0,0.0,0,7,1,6,6,0.1429,0.1429,0
correction_report_prune_0.0001.json::sample_2,correction_report_prune_0.0001.json,92,93,11,34,2,32,9,0.0588,0.1818,0,13,3,10,8,0.2308,0.2727,0
correction_report_prune_0.0001.json::sample_3,correction_report_prune_0.0001.json,127,127,16,11,2,9,14,0.1818,0.125,0,15,5,10,11,0.3333,0.3125,0
correction_report_prune_0.0001.json::sample_4,correction_report_prune_0.0001.json,130,133,14,8,1,7,13,0.125,0.0714,0,18,3,15,11,0.1667,0.2143,0
correction_report_prune_0.0001.json::sample_5,correction_report_prune_0.0001.json,257,258,36,27,2,25,34,0.0741,0.0556,0,52,6,46,30,0.1154,0.1667,0
correction_report_prune_0.0001.json::sample_6,correction_report_prune_0.0001.json,260,259,33,16,10,6,23,0.625,0.303,0,38,14,24,19,0.3684,0.4242,0
correction_report_prune_0.0001.json::sample_7,correction_report_prune_0.0001.json,378,379,57,17,4,13,53,0.2353,0.0702,0,72,29,43,28,0.4028,0.5088,0
correction_report_prune_0.0001.json::sample_8,correction_report_prune_0.0001.json,355,351,34,165,9,156,25,0.0545,0.2647,0,44,3,41,31,0.0682,0.0882,0
correction_report_prune_0.0001.json::sample_9,correction_report_prune_0.0001.json,571,571,56,29,2,27,54,0.069,0.0357,0,78,7,71,49,0.0897,0.125,0
correction_report_prune_0.0001.json::sample_10,correction_report_prune_0.0001.json,561,566,51,4,0,4,51,0.0,0.0,0,74,14,60,37,0.1892,0.2745,0
