sample_id,file,token_count,llm_token_count,expected_count,llm_count,tp,fp,fn,precision,recall,match,ex_llm_count,ex_tp,ex_fp,ex_fn,ex_precision,ex_recall,ex_match
correction_report_prune_0.0008.json::sample_0,correction_report_prune_0.0008.json,79,80,7,18,4,14,3,0.2222,0.5714,0,12,5,7,2,0.4167,0.7143,0
correction_report_prune_0.0008.json::sample_1,correction_report_prune_0.0008.json,78,76,7,6,0,6,7,0.0,0.0,0,7,1,6,6,0.1429,0.1429,0
correction_report_prune_0.0008.json::sample_2,correction_report_prune_0.0008.json,92,92,11,11,1,10,10,0.0909,0.0909,0,13,3,10,8,0.2308,0.2727,0
correction_report_prune_0.0008.json::sample_3,correction_report_prune_0.0008.json,127,124,16,102,5,97,11,0.049,0.3125,0,17,5,12,11,0.2941,0.3125,0
correction_report_prune_0.0008.json::sample_4,correction_report_prune_0.0008.json,130,130,14,5,1,4,13,0.2,0.0714,0,22,3,19,11,0.1364,0.2143,0
correction_report_prune_0.0008.json::sample_5,correction_report_prune_0.0008.json,257,205,36,4,0,4,36,0.0,0.0,0,55,5,50,31,0.0909,0.1389,0
correction_report_prune_0.0008.json::sample_6,correction_report_prune_0.0008.json,260,222,33,4,1,3,32,0.25,0.0303,0,37,13,24,20,0.3514,0.3939,0
correction_report_prune_0.0008.json::sample_7,correction_report_prune_0.0008.json,378,6,57,4,0,4,57,0.0,0.0,0,6,0,6,57,0.0,0.0,0
correction_report_prune_0.0008.json::sample_8,correction_report_prune_0.0008.json,355,202,34,2,0,2,34,0.0,0.0,0,31,3,28,31,0.0968,0.0882,0
correction_report_prune_0.0008.json::sample_9,correction_report_prune_0.0008.json,571,122,56,4,0,4,56,0.0,0.0,0,34,0,34,56,0.0,0.0,0
correction_report_prune_0.0008.json::sample_10,correction_report_prune_0.0008.json,561,6,51,4,0,4,51,0.0,0.0,0,5,0,5,51,0.0,0.0,0
