sample_id,file,token_count,llm_token_count,expected_count,llm_count,tp,fp,fn,precision,recall,match,ex_llm_count,ex_tp,ex_fp,ex_fn,ex_precision,ex_recall,ex_match
correction_report_topk_28-128.json::sample_0,correction_report_topk_28-128.json,79,79,7,15,3,12,4,0.2,0.4286,0,11,6,5,1,0.5455,0.8571,0
correction_report_topk_28-128.json::sample_1,correction_report_topk_28-128.json,78,78,7,5,0,5,7,0.0,0.0,0,7,1,6,6,0.1429,0.1429,0
correction_report_topk_28-128.json::sample_2,correction_report_topk_28-128.json,92,128,11,7,1,6,10,0.1429,0.0909,0,52,3,49,8,0.0577,0.2727,0
correction_report_topk_28-128.json::sample_3,correction_report_topk_28-128.json,127,130,16,14,0,14,16,0.0,0.0,0,28,4,24,12,0.1429,0.25,0
correction_report_topk_28-128.json::sample_4,correction_report_topk_28-128.json,130,133,14,4,0,4,14,0.0,0.0,0,21,3,18,11,0.1429,0.2143,0
correction_report_topk_28-128.json::sample_5,correction_report_topk_28-128.json,257,258,36,4,0,4,36,0.0,0.0,0,52,8,44,28,0.1538,0.2222,0
correction_report_topk_28-128.json::sample_6,correction_report_topk_28-128.json,260,259,33,4,0,4,33,0.0,0.0,0,38,13,25,20,0.3421,0.3939,0
correction_report_topk_28-128.json::sample_7,correction_report_topk_28-128.json,378,382,57,31,10,21,47,0.3226,0.1754,0,78,29,49,28,0.3718,0.5088,0
correction_report_topk_28-128.json::sample_8,correction_report_topk_28-128.json,355,436,34,17,1,16,33,0.0588,0.0294,0,129,3,126,31,0.0233,0.0882,0
correction_report_topk_28-128.json::sample_9,correction_report_topk_28-128.json,571,568,56,4,0,4,56,0.0,0.0,0,94,7,87,49,0.0745,0.125,0
correction_report_topk_28-128.json::sample_10,correction_report_topk_28-128.json,561,567,51,4,0,4,51,0.0,0.0,0,82,13,69,38,0.1585,0.2549,0
